artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Mister V,273,2.6242409242635967,0.8759931411194917,2,0.19047619047619047,8,"2,4,8","0.190,0.121,0.099",0.4584249084226163,generalist
Hyacinthe,272,2.0265737578194205,0.6764869396740825,0,0.4338235294117647,6,"0,5,7","0.434,0.125,0.077",0.6900735294083142,moderate
Kofs,271,2.2424664518501065,0.748553691411734,1,0.25461254612546125,5,"1,10,14","0.255,0.240,0.125",0.6322878228750672,generalist
Abou Debeing,269,2.4254916038334255,0.8096489880772758,5,0.22304832713754646,7,"5,15,13","0.223,0.156,0.138",0.5674721189562703,generalist
Vegedream,265,2.2053402353114646,0.7361606558703446,5,0.39245283018867927,4,"5,15,14","0.392,0.125,0.075",0.6201886792421824,moderate
Dry,265,2.74201064805206,0.9153056407137051,0,0.10943396226415095,8,"0,11,9","0.109,0.109,0.106",0.3832075471678951,generalist
Deen Burbigo,264,2.7640383085928315,0.9226586544443476,2,0.10227272727272728,9,"2,3,11","0.102,0.102,0.102",0.3640151515133315,generalist
Hippocampe Fou,264,2.482803224582117,0.8287800770783299,7,0.1590909090909091,7,"7,16,4","0.159,0.152,0.117",0.5435606060578883,generalist
Dabs,264,2.5811201740745564,0.8615990810862552,2,0.1590909090909091,9,"2,10,1","0.159,0.136,0.110",0.49393939393692426,generalist
Butter Bullets,262,2.537988746245396,0.8472014567691825,4,0.22519083969465647,7,"4,3,15","0.225,0.168,0.080",0.5049618320585437,generalist
Elh Kmer,260,2.62660101131088,0.8767809575302298,1,0.13846153846153847,8,"1,2,8","0.138,0.131,0.112",0.46461538461306173,generalist
Stupeflip,257,2.5794735601082914,0.8610494278409364,3,0.19066147859922178,7,"3,4,7","0.191,0.187,0.082",0.4729571984412149,generalist
Mysa,255,1.992881759619778,0.6652402743772294,6,0.34901960784313724,6,"6,7,9","0.349,0.220,0.090",0.7198039215650286,moderate
