artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Eklips,54,1.8005347173491009,0.6010332542877853,3,0.37037037037037035,5,"3,0,8","0.370,0.204,0.148",0.7666666666628331,moderate
Diamond Deuklo,54,2.775931638274474,0.9266287454256531,0,0.1111111111111111,9,"19,0,10","0.111,0.111,0.093",0.35740740740562027,generalist
Humphrey,53,1.3551443101040772,0.45235828383836185,7,0.5660377358490566,4,"7,10,2","0.566,0.151,0.151",0.8462264150901083,specialist
Moona,53,2.364242564298281,0.7892035563957318,7,0.18867924528301888,9,"7,16,14","0.189,0.151,0.094",0.572641509431099,generalist
Blackapar,49,1.9972665196350818,0.6667039432284187,3,0.3877551020408163,4,"3,0,1","0.388,0.204,0.082",0.6969387755067195,moderate
Assaf,49,2.565073646261202,0.8562426185094716,5,0.14285714285714285,8,"5,14,13","0.143,0.122,0.122",0.4867346938751172,generalist
Orties,49,2.6109785560260024,0.8715660538411414,7,0.14285714285714285,10,"7,1,11","0.143,0.122,0.102",0.44999999999775003,generalist
Dicidens,49,2.290296561744598,0.7645197743346743,0,0.22448979591836735,7,"0,11,10","0.224,0.163,0.143",0.6153061224459032,generalist
Psykick Lyrikah,49,0.9458323336187964,0.31572658944475934,9,0.6938775510204082,3,"9,10,6","0.694,0.184,0.061",0.8989795918322397,specialist
La Boussole,47,2.0352305104797046,0.6793766347034764,0,0.23404255319148937,6,"0,9,10","0.234,0.191,0.149",0.696808510634814,generalist
Driks,47,2.0985366565772483,0.7005087454252534,2,0.3404255319148936,6,"2,16,6","0.340,0.149,0.106",0.6776595744646968,moderate
Milk Coffee and Sugar,47,2.1560955762193386,0.7197223848249469,9,0.3191489361702128,5,"9,3,11","0.319,0.170,0.128",0.6606382978690372,moderate
Bastard Prod,47,1.9377494019767434,0.6468366412723163,11,0.2978723404255319,4,"11,9,0","0.298,0.277,0.128",0.7265957446772181,generalist
Hös Copperfield,47,2.5463874847898973,0.8500050245708329,4,0.1276595744680851,6,"16,5,4","0.128,0.128,0.128",0.4904255319124416,generalist
Vicky R,47,2.577932546426462,0.8605350248365581,2,0.1702127659574468,7,"2,3,17","0.170,0.128,0.085",0.4734042553167818,generalist
Missak Portoukalian,47,2.5355950369513476,0.8464024169767485,14,0.1702127659574468,7,"14,4,0","0.170,0.149,0.106",0.503191489359186,generalist
Morsay,46,2.3966059147939394,0.80000670819316,3,0.17391304347826086,8,"3,18,5","0.174,0.152,0.130",0.5695652173884566,generalist
Afrojazz,46,1.8919882927822371,0.6315612077502755,0,0.2826086956521739,5,"0,3,11","0.283,0.239,0.174",0.7456521739093152,generalist
Zinée,46,2.4332553713679803,0.8122405973486024,17,0.21739130434782608,7,"17,16,7","0.217,0.130,0.109",0.5413043478233804,generalist
Bimbim,45,2.3968660117852494,0.8000935307018355,5,0.17777777777777778,6,"5,1,12","0.178,0.156,0.133",0.5699999999971503,generalist
Bedjik,44,2.3066763170859472,0.7699874709929999,1,0.1590909090909091,8,"1,16,6","0.159,0.136,0.136",0.5818181818152726,generalist
Mike Lucazz,43,2.0096137191198054,0.6708255396720407,0,0.3488372093023256,4,"0,11,3","0.349,0.163,0.163",0.7058139534848432,moderate
OFX,43,2.5967316969689884,0.8668103354537595,7,0.13953488372093023,5,"7,10,11","0.140,0.140,0.116",0.46627906976511035,generalist
Dadinho,42,2.1347623676210907,0.7126011848477076,1,0.30952380952380953,6,"1,5,18","0.310,0.143,0.095",0.6571428571395713,moderate
Vicelow,41,2.1314414983444814,0.7114926514497382,3,0.24390243902439024,6,"3,11,8","0.244,0.195,0.122",0.6719512195088354,generalist
Dala,41,1.9195767702253703,0.6407704677654916,0,0.34146341463414637,5,"0,5,1","0.341,0.171,0.171",0.7353658536548596,moderate
Eli Mc,40,1.7382621561565996,0.5802461626834263,9,0.325,4,"9,10,7","0.325,0.275,0.175",0.7799999999961001,moderate
Edgar Sekloka,40,1.666566680162638,0.5563136248438865,9,0.5,3,"9,11,0","0.500,0.150,0.075",0.7749999999961251,specialist
Eye’s Berg,40,2.2114642944685783,0.7382049170385325,16,0.25,7,"16,2,7","0.250,0.150,0.150",0.6399999999967999,generalist
IV My People,39,2.4351019548205035,0.8128570020483229,0,0.20512820512820512,7,"0,3,11","0.205,0.128,0.103",0.5448717948690709,generalist
Explicit Samouraï,39,2.177282529876042,0.7267947637033065,3,0.2564102564102564,10,"3,4,18","0.256,0.179,0.103",0.6448717948685709,generalist
Makiavel,39,2.2548533058107987,0.7526885248446286,4,0.20512820512820512,9,"4,1,5","0.205,0.179,0.128",0.6243589743558527,generalist
La Clinique,38,1.7722055679556443,0.5915767519015263,0,0.42105263157894735,6,"0,11,10","0.421,0.158,0.105",0.7684210526277367,moderate
Fisto,37,2.166185334116222,0.723090428753957,2,0.21621621621621623,9,"2,9,10","0.216,0.216,0.135",0.6527027026994398,generalist
