artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,1.4800993764286257,0.4940693096959255,3,0.637595552466991,3,"3,6,19","0.638,0.084,0.072",0.7973245309202663,specialist
La Fouine,1191,1.7192830843539113,0.5739107928741034,3,0.49622166246851385,4,"3,6,0","0.496,0.223,0.059",0.7644416456720807,moderate
Rohff,1095,1.4724373505895372,0.4915116626368982,3,0.428310502283105,2,"3,6,0","0.428,0.397,0.029",0.8005936073019331,moderate
Sexion d’Assaut,1023,1.3473342402368518,0.44975121846867844,3,0.4858260019550342,2,"3,6,0","0.486,0.356,0.036",0.8404203323516144,moderate
Alkpote,889,1.3405057204531752,0.4474718025662769,3,0.6355455568053994,2,"3,6,0","0.636,0.189,0.035",0.8253655792984607,specialist
Naps,854,1.6718073715632815,0.5580630106107348,3,0.5690866510538641,4,"3,11,6","0.569,0.109,0.076",0.767330210768997,specialist
Disiz,849,1.631074900604944,0.5444661777702573,6,0.408716136631331,3,"6,3,19","0.409,0.355,0.068",0.7813309776168239,moderate
Swift Guad,797,1.2917536370909388,0.4311979573389798,6,0.493099121706399,2,"6,3,19","0.493,0.366,0.040",0.8474905897071806,moderate
IAM,745,1.0643080624634913,0.35527475931647523,6,0.7221476510067114,2,"6,3,14","0.722,0.160,0.027",0.8657046979822487,specialist
Sinik,744,1.3366109015741499,0.44617168008423524,6,0.5497311827956989,4,"6,3,19","0.550,0.263,0.058",0.8504032258021993,specialist
Lacrim,732,1.4237927154687269,0.47527368451373947,3,0.5819672131147541,2,"3,6,19","0.582,0.210,0.045",0.8262295081925902,specialist
Sadek,721,1.6193026105618378,0.5405364908129043,3,0.5006934812760055,3,"3,6,19","0.501,0.248,0.069",0.7899445214939699,specialist
Niro,713,1.5441547370332533,0.5154515143642471,3,0.5596072931276297,2,"3,6,0","0.560,0.209,0.048",0.7974053295892808,specialist
Mac Tyer,704,1.6244029715716286,0.5422390331444793,6,0.41051136363636365,4,"6,3,0","0.411,0.332,0.081",0.7965909090869264,moderate
Gims,703,1.9516845202342186,0.6514882980243208,6,0.3157894736842105,4,"6,3,19","0.316,0.290,0.115",0.7199857752453334,moderate
Booba,676,1.4370920678382753,0.47971311739863165,3,0.5384615384615384,2,"3,6,19","0.538,0.269,0.040",0.8244082840195467,specialist
Alonzo,666,1.7423213837657086,0.5816011661478359,3,0.466966966966967,4,"3,6,0","0.467,0.243,0.063",0.7656156156117877,moderate
Vald,659,1.4782681697552367,0.4934580378911802,3,0.5280728376327769,3,"3,6,19","0.528,0.267,0.061",0.8140364188123181,specialist
Jorrdee,656,1.7883440947282425,0.5969639244853607,3,0.4817073170731707,3,"3,6,19","0.482,0.216,0.064",0.7475609756060181,moderate
A2H,649,1.6920189517033453,0.564809801810499,3,0.5346687211093991,3,"3,6,19","0.535,0.157,0.096",0.7695685670223467,specialist
Kaaris,637,1.4607402542961436,0.48760707596984043,3,0.5604395604395604,2,"3,6,0","0.560,0.242,0.039",0.8132653061183825,specialist
Kekra,634,1.9106742134840053,0.6377987213180685,3,0.49053627760252366,3,"3,6,19","0.491,0.148,0.066",0.7070977917945718,moderate
3010,623,1.4203350184380141,0.4741194768893676,3,0.5409309791332263,2,"3,6,19","0.541,0.281,0.042",0.82062600320617,specialist
Seth Gueko,613,1.1896038022349043,0.3970995047643614,3,0.6835236541598695,2,"3,6,0","0.684,0.166,0.042",0.8529363784622931,specialist
Guizmo,594,1.3796599399123106,0.4605418021135611,3,0.6363636363636364,3,"3,6,0","0.636,0.146,0.052",0.826767676763543,specialist
Lucio Bukowski,590,0.803603525720083,0.26824944699304754,6,0.7983050847457627,2,"6,3,14","0.798,0.120,0.025",0.9020338983005745,specialist
Jarod,583,1.3117319452696719,0.43786688044505956,3,0.6260720411663808,4,"3,6,11","0.626,0.156,0.077",0.8491423670626498,specialist
VII,580,0.6407747651051929,0.2138958713907398,6,0.8603448275862069,2,"6,3,14","0.860,0.064,0.028",0.9136206896506046,specialist
Georgio,576,1.3294180456079314,0.44377064577629116,6,0.5954861111111112,3,"6,3,19","0.595,0.179,0.113",0.84999999999575,specialist
Djadja & Dinaz,568,1.501658690276614,0.5012659854597484,3,0.6091549295774648,4,"3,19,6","0.609,0.093,0.085",0.8049295774607642,specialist
Hamza,561,2.103218522841894,0.702071590778951,3,0.40641711229946526,5,"3,6,19","0.406,0.137,0.112",0.668538324417335,moderate
Dinos,557,1.8622149254807463,0.6216226135827235,6,0.3303411131059246,3,"6,3,19","0.330,0.285,0.172",0.7437163375187233,moderate
Ol’ Kainry,557,1.496612592433368,0.4995815566181619,3,0.4488330341113106,2,"3,6,19","0.449,0.359,0.041",0.8069120287212798,moderate
Hayce Lemsi,555,1.505613174927753,0.5025860248658225,3,0.4990990990990991,2,"3,6,11","0.499,0.297,0.036",0.8092792792752329,moderate
Kery James,555,1.1525955057867405,0.3847458319162004,6,0.736936936936937,2,"6,3,19","0.737,0.079,0.041",0.8474774774732403,specialist
Soprano,549,1.6509080885457887,0.551086658550843,6,0.5446265938069217,3,"6,3,19","0.545,0.177,0.064",0.7780510018176034,specialist
Ninho,545,1.541465434072881,0.5145538029819205,3,0.6110091743119266,3,"3,6,19","0.611,0.132,0.053",0.7843119266015833,specialist
Oxmo Puccino,542,1.3389724753341343,0.44695999277186493,6,0.559040590405904,2,"6,3,19","0.559,0.271,0.039",0.8435424354201367,specialist
Jok’Air,541,2.0649021400360943,0.6892812679773934,3,0.3419593345656192,4,"3,6,19","0.342,0.222,0.124",0.69380776339764,moderate
Médine,539,1.034231759606756,0.3452350427763005,6,0.7365491651205937,2,"6,3,14","0.737,0.134,0.035",0.8761595547266023,specialist
Dosseh,535,1.5815297128200718,0.5279275877826766,3,0.4691588785046729,2,"3,6,11","0.469,0.320,0.037",0.7843925233605642,moderate
Mister You,535,1.3169651830972624,0.4396137781480983,3,0.6448598130841121,2,"3,6,0","0.645,0.155,0.049",0.8406542056032734,specialist
PLK,511,1.5697996660322058,0.5240120019703469,3,0.6144814090019569,3,"3,6,19","0.614,0.114,0.065",0.7748532289589438,specialist
Black M,501,1.9084771275991756,0.6370653160320803,3,0.3393213572854291,3,"3,6,19","0.339,0.257,0.170",0.7344311377208793,moderate
Leto,500,1.6412737124775507,0.5478706248106823,3,0.582,4,"3,6,19","0.582,0.098,0.094",0.7675999999961619,specialist
Hooss,486,1.5155751413056349,0.5059114109378107,3,0.6275720164609053,4,"3,6,11","0.628,0.080,0.068",0.7903292181030442,specialist
Youssoupha,484,1.4120139139824837,0.47134182398326907,6,0.6012396694214877,3,"6,3,19","0.601,0.182,0.060",0.8287190082603193,specialist
Lord Esperanza,471,1.257976058608817,0.4199227246420173,6,0.6305732484076433,3,"6,3,19","0.631,0.187,0.076",0.8574309978725704,specialist
KIK,469,1.8203060318931157,0.6076330812211044,3,0.42217484008528783,5,"3,6,19","0.422,0.188,0.160",0.7602345415740241,moderate
Beeby,469,1.241925124618961,0.41456479124738393,3,0.5543710021321961,2,"3,6,19","0.554,0.320,0.032",0.84999999999575,specialist
Nekfeu,465,1.60788379762525,0.5367247974124654,6,0.49032258064516127,3,"6,3,19","0.490,0.282,0.058",0.782043010748778,moderate
Akhenaton,464,1.0606960942836479,0.3540690547173929,6,0.709051724137931,2,"6,3,14","0.709,0.170,0.032",0.8732758620645992,specialist
GLK,462,1.5853863419460061,0.529214962211954,3,0.5865800865800865,4,"3,6,0","0.587,0.115,0.071",0.7878787878748486,specialist
YL,461,1.480553517815759,0.4942209058152257,3,0.6073752711496746,2,"3,6,19","0.607,0.161,0.050",0.8057483730979237,specialist
RK,460,1.5470586804910047,0.5164208745048,3,0.6173913043478261,3,"3,19,6","0.617,0.076,0.076",0.7854347826047686,specialist
Luv Resval,459,1.7563932672934828,0.5862984762686364,3,0.4684095860566449,3,"3,6,19","0.468,0.240,0.050",0.7545751633949204,moderate
13 Block,450,1.5170195033697789,0.5063935508395951,3,0.5577777777777778,3,"3,6,0","0.558,0.202,0.084",0.8071111111070757,specialist
Sofiane,448,1.4460885531783998,0.48271621798260056,3,0.5691964285714286,2,"3,6,0","0.569,0.223,0.045",0.8225446428530304,specialist
Elams,447,1.6165170955806227,0.5396066630690151,3,0.5637583892617449,4,"3,6,0","0.564,0.141,0.074",0.7871364653204492,specialist
Hornet La Frappe,444,1.7428585965624732,0.5817804921849143,3,0.527027027027027,4,"3,6,0","0.527,0.122,0.097",0.7608108108070069,specialist
Scylla,441,1.1106349768173869,0.370739063240716,6,0.7029478458049887,3,"6,3,19","0.703,0.113,0.079",0.8740362811747684,specialist
Rim’K,441,1.4868051243707998,0.49630774335081906,3,0.4603174603174603,3,"3,6,0","0.460,0.327,0.084",0.8187074829891038,moderate
SCH,440,1.4729489477564193,0.49168243796665595,3,0.525,2,"3,6,11","0.525,0.273,0.041",0.8174999999959126,specialist
Keny Arkana,437,0.7200896973827019,0.24037184622256733,6,0.8489702517162472,2,"6,3,14","0.849,0.050,0.025",0.901258581231192,specialist
Freeze Corleone,437,1.6669377621167079,0.5564374950432851,3,0.5263157894736842,3,"3,6,1","0.526,0.156,0.144",0.7639588100648301,specialist
Bigflo & Oli,434,1.6470971631573792,0.5498145404039538,6,0.3548387096774194,5,"6,3,19","0.355,0.353,0.108",0.794009216585892,moderate
Demi Portion,433,1.1793320605792685,0.39367071316428637,6,0.6304849884526559,2,"6,3,19","0.630,0.233,0.030",0.8659353348686495,specialist
Lefa,432,1.8604288368928124,0.6210264025649028,3,0.3680555555555556,4,"3,6,11","0.368,0.282,0.093",0.7488425925888486,moderate
