row_0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
100 Blaze,16.601553265381963,-1.1853043994419592,4.090211213704208,7.831821346221403,0.516406717114295,-0.9163308109223203,0.3088328443140744,-3.5272106045818172,-1.9053814357986292,-2.9425350027479014,-2.823735950344237,-2.7658558029654032,-2.9711988786911374,6.939435823582591,1.4267913984964726,8.017904329743839,-1.9148704306027242,-1.082538999267845,-4.122472269937772,-3.2115569490225457
10vers,-0.3478222302008714,-0.38355549623119534,-1.0560792596103856,-1.0960484945961693,-0.2506525111301314,-0.2965176869238951,-0.6268980305426418,2.3631555153953925,-1.1587603741936983,0.43939051107302773,-0.9137394954760488,1.411007696066964,-0.9614573784979303,-0.36148661695317647,-0.7669981739217082,-1.210766657977339,-1.3789810875943596,-0.3503013936539478,0.011748551667978207,4.261553317112331
113,-1.2991055536832319,-1.4325682259525239,-2.676812093439264,-3.6051534967535637,-0.9361795799578074,1.6013565752561485,-1.3483039048545817,5.354592955899292,-2.941592678324514,3.4312266000842473,-2.240727751043682,-2.511193503728495,-3.3125414992545967,-0.6094785878241218,-1.4684156577436882,-0.9840580783673103,9.411373584738621,-0.5440525339017952,-1.2678690830540902,1.565833316306994
13 Block,0.1684641127037711,-1.819363466340925,-3.212809952252328,4.0335044606612,-1.1889492555220404,-1.4065068865706574,-3.0510642267796286,-5.044623499456153,34.711045508492774,-5.746559832772222,-4.334246990884178,-4.800735421721337,-4.341323042765568,0.6181130592751081,8.18086628506916,5.226380112089779,-3.6363632566346364,-1.6616254078635495,-6.23132260295638,-5.4945391681577975
1995,0.0709220507663088,-1.0643233082933592,-2.5892624370336983,-3.041411141225446,-0.6955324916608661,-0.8228031893119808,7.33979512925198,-2.8514603312873392,-2.904429105816751,11.21413128491257,-0.1691496243379737,-1.066101090623908,-0.7938279920343182,0.9907650106545657,-1.1886312287418122,-2.1691732067270317,-1.474508995383818,-0.9720469185787357,-0.3256370632503637,-1.3587544769758024
2 Bal,-0.3390151746246952,-0.37384365415197374,-1.0293387355216257,-1.0682959268742918,-0.24430584778929995,-0.28900969139591537,-1.3269513775424095,8.775356030659688,-1.1294199062157722,3.0535907599960908,-0.8906030947106478,-0.2543480809780205,-0.93711273394918,-0.352333571377239,-0.7475773464025467,-1.1801093614835594,-0.600052597198354,-0.3414315642571776,-1.3726912304677341,-0.6473083195068098
2zer,-0.980710668892293,-1.0814632722722533,-1.9702030792786005,-0.8253042641369734,-0.7067334131869902,-0.8360536902804998,-0.19150440774283484,-0.7323414846758353,0.4056460965799917,0.6826655919611234,-0.6356313335488403,1.5880735103210837,0.24014811807599887,-1.0192384244489645,0.14941434251407626,-1.656298561492761,-1.830600647990413,-0.9877008547846812,-1.2008351561039796,6.584316080748598
3010,-0.9110194691957222,-2.140707033945161,-4.536944738360229,-2.5209201223690987,-1.3989464345093545,-1.0506748381756468,20.17059746430817,-4.486536327625249,-4.457180829113875,-0.10625381434071696,-3.727171492093384,4.883089810562299,-0.1481650560566641,-1.0262274870339296,0.15765449527999695,-2.0221115143787514,1.5287037623496222,-0.9321475550797123,-3.5347922930155358,-2.7906480112883276
404Billy,-1.2874121964740506,-1.4196735601227035,-2.6297944862944305,7.28195752945633,-0.9277529496428543,-1.0975160686268561,2.8988100749780505,3.1132558245787565,-1.0247988614851469,-2.477033209531393,-1.6080096061225235,-1.2955197356740877,-0.4676674173454533,-0.5905985278278615,-1.0777023111501167,-0.688076480977547,-1.57751178068666,-0.5253337020729064,1.6932696048411409,-1.1979505960989012
47ter,-1.1457034072798693,-1.2634064206589937,-3.478655188283188,-1.6714201750985815,-0.8256327836749645,-0.9767096372166415,-1.8085182639693964,-3.759625398274339,-2.76890362209799,-3.489353399128377,-2.6775491514302536,14.148590258769215,6.621537515488348,-1.1907129928947362,-0.9431865010165055,-1.4807791413629046,-1.46011473393875,-1.1538696076162567,2.0434341837431993,2.2419106530593584
4Keus,-0.5106601953057737,-1.4196735601227035,-3.1414447455104417,3.5845169308089115,-0.9277529496428543,0.7247807131744683,-4.046866455493228,-4.224642748832163,19.259749087526593,-4.484117224101906,-3.3820706911434737,-1.2955197356740877,-2.434682634597081,2.398962918683138,11.603133726088217,4.221024258758063,-3.7326448531577805,-1.2965884508562475,-4.253626534055961,-1.964156269884281
5 Majeur,-0.6318504592403937,-0.6967631605532996,-1.9184632466485845,-1.991070967721026,-0.4553328986997031,-0.5386511281002764,-0.04709099282255538,-1.1088258443418388,-2.1049927543996474,9.158922128188236,1.3523571681346027,2.137855410084316,-1.1740246247044985,-0.6566730504669988,-1.3933213758022502,-2.1994668605050016,-1.3074595753421394,-0.6363540833030489,1.350299186195333,-0.6107342244207876
