,LDA_T0,LDA_T1,LDA_T2,LDA_T3,LDA_T4,LDA_T5,LDA_T6,LDA_T7,LDA_T8,LDA_T9,LDA_T10,LDA_T11,LDA_T12,LDA_T13,LDA_T14,LDA_T15,LDA_T16,LDA_T17,LDA_T18,LDA_T19
BERTopic_T0,1775,568,466,284,331,117,115,449,429,262,246,738,188,281,195,152,856,621,581,395
BERTopic_T1,3069,476,339,164,229,228,113,185,274,209,274,393,127,138,139,141,750,433,295,391
BERTopic_T2,1405,536,365,230,242,163,99,152,376,179,172,446,131,180,133,142,987,468,368,453
BERTopic_T3,1178,310,379,168,347,84,101,166,393,194,182,549,146,256,119,155,1045,416,438,472
BERTopic_T4,2258,396,148,87,121,272,112,99,218,123,123,308,112,133,108,160,837,675,112,397
BERTopic_T5,1364,435,380,238,222,99,80,168,318,165,211,505,124,180,86,108,577,328,400,326
BERTopic_T6,1330,401,300,123,162,185,86,159,310,139,141,402,96,135,96,102,785,441,293,384
BERTopic_T7,916,222,284,105,225,88,81,167,291,163,126,362,93,188,87,136,1016,527,264,244
BERTopic_T8,2379,289,168,46,143,198,86,117,146,93,104,210,63,75,110,118,506,358,112,213
BERTopic_T9,807,239,224,105,194,148,74,117,272,140,134,340,109,195,92,119,1084,581,271,225
BERTopic_T10,1323,169,172,73,133,239,60,104,175,94,114,278,87,100,94,127,1081,694,111,209
BERTopic_T11,1175,328,238,97,148,176,67,120,228,130,150,346,90,103,82,87,745,412,237,255
BERTopic_T12,1118,346,311,167,175,71,77,139,283,135,169,357,98,160,75,103,456,264,315,258
BERTopic_T13,1415,324,357,147,161,123,56,115,239,136,177,352,77,106,81,96,350,202,237,222
BERTopic_T14,763,139,165,72,163,231,84,88,220,86,110,255,63,97,75,103,1288,581,171,205
BERTopic_T15,908,337,246,146,180,101,61,109,253,122,113,290,93,180,76,87,581,327,251,330
BERTopic_T16,843,254,242,121,193,109,79,142,260,128,143,370,108,127,85,99,601,415,256,208
BERTopic_T17,782,193,140,77,171,187,62,91,224,110,125,274,74,116,81,94,976,589,177,193
BERTopic_T18,1056,452,270,141,146,90,51,104,205,135,149,313,94,116,58,76,347,188,263,207
BERTopic_T19,1275,223,238,107,94,79,47,101,136,119,217,235,51,88,49,71,266,160,144,161
