row_0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
100 Blaze,0.5397176609332468,2.7403106594369304,2.9220890419767995,-3.129075328069585,2.3214233913100792,2.354599183341027,-1.5862099750300007,-2.704653477267317,0.6156838211135575,-2.3346639284549084,-2.9953001828189847,-2.2509130107762885,-0.8192439115035665,3.0722445426326854,-2.5101223683966496,0.03708275586902793,-0.3176859654808793,-1.004967868194813,0.235804479993716,4.2128206875120515
10vers,1.1507708969739263,-1.2027349497045996,0.6736912997822012,1.6025956740756528,-1.0840607859521891,-1.0437983714428607,-1.024383399177377,1.0551126768162418,-0.9782323993096561,1.0883280362952277,-0.9692563773645373,0.10464311222424692,-0.9361934454847388,0.15236108920789007,-0.9254087321342399,-0.9092773402516258,2.3909273032081635,2.4135606967093723,-0.8779000934604072,-0.8166166907787187
113,0.045488945346978754,-3.156524052554549,2.7798980816824845,6.98925496333368,-1.5791487423382051,0.20552873802260782,-0.4282731817805527,-2.0310603411061416,-3.653668546648671,0.5083508006448432,-3.0676790683114823,-1.287742774232028,2.7950742819579717,-0.28322668954324354,-2.0097709209880428,7.204197809555702,-1.039292245174748,-1.3045274231348718,0.38079960083790937,-1.4107153048657193
13 Block,-3.5663524519207366,2.708492068843996,3.761842741270382,0.27061767457181163,-2.4195561871514504,0.3001131995568939,1.3149348145627249,-3.798476338359162,1.394106181355994,-3.5210423030639797,-2.8575433633616356,-1.836075036158111,1.1889173628187744,-0.528480887588794,-3.933976560710378,6.120295530511555,-3.384572690145482,-1.4912903351758744,9.283567570036288,2.064147927069517
1995,5.759671501865749,-2.738194851001256,1.0950631392200145,-0.4681059731734648,-2.6757159927693324,1.2466184228573955,-1.7871576353241605,1.3128618370582086,-1.6093026264560006,1.7582868681718125,-1.5741603828165387,0.024566542507938674,2.0214060645963725,-2.182662550981817,-1.789060010369399,0.6475074286313973,1.8379422068294533,-0.5163648370922316,-1.204584157920647,-0.05950686692398309
2 Bal,1.2447761341736203,-1.1722810206063559,0.7484900134473044,7.261252561161602,-1.0566117537924296,-1.0173688063875506,-0.9984454321993205,1.1328907469384006,-0.9534630017474038,-0.9465399622513807,-0.9447142577540232,-0.9250158924198143,0.18341572660946512,-0.9032519967612544,-0.9019768596975126,0.24209086888132536,-0.8860683791481666,-0.881323792856676,0.3130020794470658,-0.7959394943527217
2zer,-1.5371889311325042,2.506415397117926,-2.1966664435517127,-1.519890162359922,5.776782829757389,-1.2441593467164445,0.22766732370662704,-0.6010952881385544,-0.9454220031995906,2.739935464802649,0.9262389003692121,1.0611445330834954,-0.3666532151374321,-1.464818876891725,0.07349538991492989,-1.0035759160641078,0.16768199338444278,1.3728043296575654,-2.475304661000832,-2.3025115454605576
3010,0.6234621277893416,-1.9456621285647901,-1.1005546083213977,-3.7515721301706373,1.717726854672645,3.7869667632358657,-0.8198974675387837,-2.742675567480475,-0.331268880264272,-1.3611098067788068,-3.5610769249202656,0.36692527660703034,0.1336487452810356,-2.272095801865396,-3.809608393812493,-2.710285498290085,3.7952563363423515,-0.6873123787582194,16.121718798108358,0.4886708766954103
404Billy,0.9950446872146377,9.026118607545518,-2.44093871041484,-1.1695002576758031,-1.2710494520775426,-2.051618839606167,-1.417936162036837,-3.3590165175721793,0.521970400681411,-3.0380843188368534,-2.4725936614896176,-0.6659838658188522,0.28642752216850165,0.35986649888080435,-1.3816237214158797,-1.8799154803224698,-0.6901395344240457,-0.35893271996176906,7.2140006277998765,3.263424874130199
47ter,-2.6590158035116804,-3.4568992789370645,-3.135483087525622,-2.8241571857594963,6.510880779999524,-2.8565034950169697,-1.8924408415517862,-2.6157588584511897,2.3639558062454222,-1.01054057548314,10.27569993535089,0.07278281734112009,-2.110920661288142,-0.10418443633312749,7.449642752414243,-1.9934631692259797,-1.6586777231072944,4.743730535633019,-2.2001208454278203,-0.8310632761323808
4Keus,-3.760980065111155,2.287187136347668,1.4292626599060207,-2.3896496608494004,2.965721666713237,0.019061635531060342,2.274433893503055,-3.3590165175721793,-0.03039652900659424,-1.6470668978893426,1.1510409691932626,1.6114318419984806,-0.5793282084413941,0.6514027660195468,-1.3816237214158797,2.279874301105434,-0.39294947368192534,-0.35893271996176906,-0.4796884227221159,-0.04500142315476951
5 Majeur,1.6940484764513635,-2.1848765378677704,0.9281095694484773,-0.5195404664475052,-0.9537019337122701,3.377679601055064,0.2886301898822903,1.0196573269760216,-1.7770474021604254,2.203784872260463,-1.7607416485487093,0.016082577229271085,1.2393208793254955,-1.6834650231905115,0.10346965334105175,-0.4409724815988806,1.3762249524938055,-0.4250105020459731,-1.5947847173686835,-1.4834578878763875
667,-1.7882877191584436,-1.2219413151474998,-0.9970379594935191,-1.9804856413464158,-1.9392268873614786,-0.26052231775964857,-1.2867620203175332,-1.7563915314587333,-1.7499153141821475,-1.737209280689882,-1.7338585179932773,-1.6977055984811482,1.310871107019655,-0.45131578284369395,-1.655421465685692,-1.0117721390172876,-1.6262242197670262,-1.6175163577996219,25.810505676881668,1.277401640033645
A2H,-0.5171592076460286,2.4898326741736336,-4.319388163136855,-5.03824067106721,0.30203289351345963,-1.0687482010822262,-2.408026867901818,-4.341575441447446,3.5796093243915608,-3.543609414058354,3.1721518281920975,4.027323253907688,0.8548505825278335,2.4875378698341932,5.351415871717865,-1.7045775698616226,-0.15794789113394822,-1.462181984604856,0.19806375171945584,4.161850862976639
AM La Scampia,-2.5142826084658454,2.324360451163319,2.520484947427019,-0.9599168717416462,-1.6787083889552161,1.7895843528578557,-0.2169207383578282,-2.24970719358999,4.004650716881579,-1.32631628429785,0.48082856769998433,0.5846683059051001,-1.6789074682647214,3.057055756431095,1.6525347941443282,-2.0834161198075916,-1.1228170677396525,-0.14116253775986648,-2.0115218155512022,-0.8022161697676089
ASHE 22,-3.0700358858327705,11.814495336826832,-0.898072983748955,-3.231049203921269,-1.2413560345778956,0.3991964859082431,-0.8962275112223796,-2.737488251191991,0.8865433609996686,-2.088441957992741,-3.29404599778435,-1.3651047433917483,-0.03868767715624323,5.423383610139998,-3.145028499791215,-1.7957931959718696,-1.7948751830136045,-3.0730150294712626,-1.6428927961873727,11.997905609022645
