artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Sianna,95,2.0273386718697277,0.6767422742569021,20,0.2631578947368421,5,"20,17,7","0.263,0.242,0.168",0.7110526315753922,generalist
Riski,95,1.8217546695765745,0.6081166483596792,7,0.4631578947368421,4,"7,19,11","0.463,0.168,0.105",0.7521052631541342,moderate
High Five Crew,95,2.2723408310765034,0.7585260041881877,19,0.2,9,"19,7,10","0.200,0.137,0.116",0.6068421052601236,generalist
La Cliqua,95,1.4540395187328436,0.48537031548812004,10,0.5789473684210527,5,"10,20,8","0.579,0.137,0.074",0.8247368421011398,specialist
Al Peco,93,2.0471795478161403,0.6833653213567934,8,0.2903225806451613,6,"8,17,10","0.290,0.204,0.161",0.7069892473082932,generalist
James Delleck,93,1.5007268793481188,0.5009549393303192,11,0.5053763440860215,5,"11,19,8","0.505,0.226,0.065",0.8209677419313792,specialist
OldPee,93,1.5287564465633805,0.5103114387287147,4,0.3978494623655914,3,"4,9,16","0.398,0.258,0.226",0.8145161290281855,moderate
Leeroy,92,1.967370516386399,0.6567244121759941,10,0.2391304347826087,8,"10,19,11","0.239,0.217,0.185",0.7163043478225053,generalist
Moha MMZ,92,2.119118317183908,0.7073790725196845,4,0.2391304347826087,6,"4,9,16","0.239,0.174,0.130",0.6760869565183587,generalist
Aloïse Sauvage,92,1.4725368615359962,0.49154488020688514,19,0.5434782608695652,6,"19,20,12","0.543,0.141,0.076",0.8184782608654729,specialist
Escobar Macson,92,1.887121630968342,0.6299366761267865,18,0.29347826086956524,5,"18,17,11","0.293,0.228,0.174",0.7499999999962501,generalist
Lord Kossity,91,2.093567082725216,0.698849860919484,7,0.31868131868131866,7,"7,17,8","0.319,0.132,0.121",0.6752747252713489,moderate
Le Klub des 7,90,1.7580196240433272,0.5868413674889907,11,0.43333333333333335,6,"11,10,19","0.433,0.144,0.111",0.7711111111072557,moderate
Mokobé,90,2.2048457486562256,0.7359955921696915,8,0.2222222222222222,8,"8,7,20","0.222,0.200,0.111",0.6511111111078561,generalist
Fatal Bazooka,90,1.9652452113419083,0.6560149679231639,7,0.4111111111111111,4,"7,11,17","0.411,0.144,0.111",0.7099999999964502,moderate
Mo’vez Lang,89,2.1339065619872093,0.7123155099089167,10,0.2808988764044944,6,"10,17,20","0.281,0.157,0.135",0.6747191011202219,generalist
Dr Bériz,89,2.1430604315862922,0.7153711466491863,20,0.2696629213483146,5,"20,19,12","0.270,0.236,0.135",0.6702247190977725,generalist
Demon One,89,2.190733913232116,0.7312849457782608,10,0.1797752808988764,7,"10,20,19","0.180,0.157,0.157",0.6455056179743008,generalist
Rimkus,88,1.7158075013965663,0.5727506147807447,16,0.38636363636363635,5,"16,9,4","0.386,0.284,0.080",0.7840909090869886,moderate
Princess Aniès,87,1.6731267478026695,0.5585034292192451,8,0.2988505747126437,4,"20,8,10","0.299,0.299,0.161",0.7925287356282213,generalist
Mani Deïz,87,2.107230894386138,0.7034109533046563,19,0.26436781609195403,7,"19,11,8","0.264,0.161,0.115",0.6775862068931637,generalist
Swagg Man,86,1.6809285329880406,0.5611077290941853,7,0.4883720930232558,5,"7,19,15","0.488,0.116,0.093",0.780232558135634,moderate
Joey Starr,83,1.9701111810169416,0.6576392685050249,10,0.26506024096385544,6,"10,8,11","0.265,0.217,0.133",0.7198795180686897,generalist
Six,81,1.8520805553301962,0.6182396777175879,17,0.37037037037037035,4,"17,10,20","0.370,0.259,0.099",0.752469135798707,moderate
Noyau Dur,81,1.5101887437500652,0.5041133872615562,10,0.5432098765432098,3,"10,17,8","0.543,0.160,0.123",0.8179012345638118,specialist
Kalash l’Afro,79,1.8064755183320913,0.6030163423746063,10,0.3924050632911392,6,"10,20,8","0.392,0.203,0.114",0.7664556961986994,moderate
​​okis,79,1.6753790349255104,0.5592552611311699,7,0.5063291139240507,7,"7,17,16","0.506,0.089,0.089",0.7715189873379146,specialist
Saké (FRA),79,1.7937034069461364,0.5987529068537804,10,0.34177215189873417,6,"10,11,19","0.342,0.177,0.165",0.7664556961986994,moderate
Prince Waly,78,2.316787225716115,0.7733625752102311,7,0.24358974358974358,11,"7,19,20","0.244,0.128,0.115",0.5782051282022371,generalist
Beat de Boul,78,1.3458448709063897,0.4492540547723061,10,0.5512820512820513,4,"10,17,7","0.551,0.179,0.115",0.8512820512777948,specialist
Patee Gee,78,2.010125954796966,0.6709965281417656,11,0.20512820512820512,7,"11,10,19","0.205,0.192,0.154",0.6974358974324103,generalist
L’Armée des 12,78,1.5916715293661454,0.5313130093157036,11,0.5,5,"11,10,19","0.500,0.205,0.077",0.8064102564062242,specialist
Miklo,77,1.826900265490062,0.6098342904730657,16,0.3116883116883117,6,"16,3,20","0.312,0.273,0.091",0.756493506489724,moderate
L.I.O. Petrodollars,76,2.2996657954118396,0.7676473013670304,17,0.27631578947368424,8,"17,7,20","0.276,0.145,0.118",0.607894736839066,generalist
Ixzo,75,2.2182522633687047,0.7404707967234596,16,0.21333333333333335,7,"16,20,15","0.213,0.133,0.133",0.6393333333301364,generalist
