row_0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
100 Blaze,0.5390024625347569,2.7394301587173073,2.9212387070750188,-3.129396738946619,2.321306990559605,2.3538370788070924,-1.5866206493881032,-2.704944609547915,0.6187239308996736,-2.334981344427236,-2.994731502226936,-2.2512258622769616,-0.8196737872825445,3.0714829591543378,-2.510075781484931,0.036593169538891114,-0.3181447476341343,-1.0053645678504957,0.23531447976372602,4.222849361645198
10vers,1.1504549887490572,-1.202839045649073,0.6734396663991562,1.602265348785239,-1.0840747731289797,-1.0438887115276352,-1.024472058908658,1.0548514152875021,-0.9777860920353982,1.088065756339727,-0.9690723566464332,0.10446978461849414,-0.9362744724316533,0.15218749700271425,-0.9253952994391396,-0.9093560376267622,2.3905630328909315,2.4131953102368002,-0.8779760751548029,-0.8157329843749387
113,0.04467706610609138,-3.157028437836716,2.778935419096453,6.98793435417308,-1.579232850208243,0.2048361453902775,-0.42889837241112067,-2.031519327847403,-3.6520016024224438,0.507678980956157,-3.0668868469907444,-1.2882448800183988,2.7942271507713796,-0.2838012923610813,-2.0096997519262065,7.2029865055666304,-1.0397900190217149,-1.3049990960182165,0.38019909160683807,-1.405638763041222
13 Block,-3.567069901153031,2.707270172758828,3.760600135487363,0.26968525655583214,-2.419657662200447,0.2992302229876784,1.3139799539728823,-3.7989537552122363,1.3989775254539063,-3.5215349253576256,-2.85634005321962,-1.8366953473762866,1.1880458158324683,-0.5291960271320026,-3.9339062301959293,6.1190193121220195,-3.3850261831345123,-1.4919036796545613,9.28204335825305,2.074772192505271
1995,5.758572790027562,-2.7385355665372733,1.0944318989958626,-0.4685972242268819,-2.675759094765624,1.2460091927350394,-1.7874949916029268,1.312276627143872,-1.6075597172557878,1.7576682607889522,-1.5734379354227765,0.024108581297222192,2.020781466481014,-2.1829187695016437,-1.7890114307278409,0.6470146583171682,1.8373465054931597,-0.5167544542190662,-1.2049015739948767,-0.054664304355555825
2 Bal,1.2444575678625056,-1.172382480782647,0.7482368020905571,7.260437377375631,-1.056625386805994,-1.0174568590102897,-0.9985318470160668,1.1326270575824284,-0.9530279952257243,-0.9466218846827367,-0.9445348965445682,-0.9250959519566248,0.18324190970596269,-0.9033301726467465,-0.9019637671258486,0.24191651509599296,-0.8861450678024901,-0.8814000708700755,0.3128268824799922,-0.7950781638948349
2zer,-1.5376658256278997,2.505611500106578,-2.197021450717576,-1.520298953582188,5.776629420075619,-1.2445610939788379,0.2271476771602698,-0.6015224551863901,-0.9433361704379087,2.7392243920856685,0.9274526060376682,1.0605895236583882,-0.36707838752606314,-1.4651443870454444,0.0735722062639526,-1.003932831735337,0.16722380776575652,1.3722442262138346,-2.47551889704394,-2.3000198694757166
3010,0.633906685556198,-1.9374354354930883,-1.092408452051309,-3.745404992986482,1.7286482881237224,3.798031863349745,-0.8122904552454796,-2.7367872765531946,-0.31793272693978236,-1.3543168208337915,-3.553870657070229,0.3747804724109238,0.1412338799365173,-2.266311213156027,-3.8042779064666785,-2.7049545713848517,3.8052497212272853,-0.6805715977434846,16.140299835704795,0.28696234248755764
404Billy,0.9941579039989725,9.024566912397367,-2.4414430524567585,-1.1701083503857876,-1.2711365947134052,-2.052110020475403,-1.4184697443738947,-3.359354866983912,0.5255132862368165,-3.038443572271642,-2.471700811486701,-0.6665342571762491,0.2858029417899266,0.35924163424669053,-1.3815443375902212,-1.8803353369391451,-0.6906622345187861,-0.35948096462685225,7.212813869152168,3.273505592569902
47ter,-2.6594982256494024,-3.4572858530269177,-3.1358485560551648,-2.8245440064939427,6.51070462887381,-2.8568514106211325,-1.8928611194767069,-2.6160922901642434,2.36797571044024,-1.0110068119472613,10.278863645086057,0.07223541881828187,-2.11127174996287,-0.10470378871189355,7.44983938212625,-1.9938090766456704,-1.6590524949500134,4.74280446279086,-2.2004309785339267,-0.8261386960258106
