,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1992,0.05555555555555555,0.044444444444444446,0.06666666666666667,0.06666666666666667,0.05555555555555555,0.12222222222222222,0.24444444444444444,0.17777777777777778,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0,0.022222222222222223,0.05555555555555555,0.0,0.044444444444444446,0.011111111111111112,0.011111111111111112,0.0
1993,0.06666666666666667,0.02857142857142857,0.01904761904761905,0.0761904761904762,0.18095238095238095,0.12857142857142856,0.14761904761904762,0.13333333333333333,0.009523809523809525,0.014285714285714285,0.009523809523809525,0.0,0.047619047619047616,0.04285714285714286,0.05714285714285714,0.0,0.0,0.004761904761904762,0.023809523809523808,0.009523809523809525
1994,0.09401709401709402,0.03418803418803419,0.008547008547008548,0.06837606837606838,0.06837606837606838,0.15384615384615385,0.11965811965811966,0.18803418803418803,0.02564102564102564,0.08547008547008547,0.042735042735042736,0.0,0.03418803418803419,0.008547008547008548,0.05128205128205128,0.008547008547008548,0.0,0.0,0.0,0.008547008547008548
1995,0.018363939899833055,0.008347245409015025,0.035058430717863104,0.05008347245409015,0.11686143572621036,0.07679465776293823,0.19532554257095158,0.18363939899833054,0.018363939899833055,0.028380634390651086,0.01669449081803005,0.00333889816360601,0.035058430717863104,0.0333889816360601,0.05342237061769616,0.038397328881469114,0.00667779632721202,0.0333889816360601,0.03171953255425709,0.01669449081803005
1996,0.08,0.02,0.006666666666666667,0.09333333333333334,0.08666666666666667,0.06666666666666667,0.07666666666666666,0.18333333333333332,0.013333333333333334,0.02666666666666667,0.07,0.006666666666666667,0.03666666666666667,0.05,0.07666666666666666,0.02666666666666667,0.006666666666666667,0.023333333333333334,0.04,0.01
1997,0.04845222072678331,0.008075370121130552,0.03095558546433378,0.09286675639300135,0.12516823687752354,0.08209959623149395,0.15074024226110364,0.14535666218034993,0.02288021534320323,0.03633916554508748,0.04172274562584118,0.008075370121130552,0.03095558546433378,0.017496635262449527,0.05383580080753701,0.04172274562584118,0.004037685060565276,0.017496635262449527,0.033647375504710635,0.008075370121130552
1998,0.056348610067618335,0.009767092411720512,0.025544703230653644,0.09767092411720511,0.10668670172802404,0.07888805409466566,0.12922614575507138,0.21187077385424494,0.014274981217129978,0.03155522163786627,0.04432757325319309,0.007513148009015778,0.045078888054094664,0.018782870022539443,0.056348610067618335,0.021788129226145755,0.0067618332081141996,0.007513148009015778,0.022539444027047332,0.007513148009015778
1999,0.050576752440106475,0.009760425909494233,0.03637976929902396,0.08163265306122448,0.10381543921916593,0.061224489795918366,0.12599822537710736,0.18722271517302574,0.01419698314108252,0.043478260869565216,0.04614019520851819,0.011535048802129548,0.055900621118012424,0.01685891748003549,0.06654835847382432,0.027506654835847383,0.01419698314108252,0.007985803016858917,0.026619343389529725,0.012422360248447204
2000,0.05277777777777778,0.021296296296296296,0.04351851851851852,0.07407407407407407,0.11666666666666667,0.062037037037037036,0.12407407407407407,0.18518518518518517,0.024074074074074074,0.03425925925925926,0.021296296296296296,0.022222222222222223,0.044444444444444446,0.018518518518518517,0.03425925925925926,0.06018518518518518,0.005555555555555556,0.008333333333333333,0.03333333333333333,0.013888888888888888
2001,0.056372549019607844,0.012254901960784314,0.061274509803921566,0.09068627450980392,0.12254901960784313,0.0718954248366013,0.12336601307189543,0.14297385620915032,0.017973856209150325,0.04084967320261438,0.031862745098039214,0.008169934640522876,0.04820261437908497,0.012254901960784314,0.06535947712418301,0.04493464052287582,0.005718954248366013,0.00980392156862745,0.031862745098039214,0.0016339869281045752
