artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Manu Key,192,2.651915651764912,0.8852311921114394,4,0.20833333333333334,8,"4,11,0","0.208,0.099,0.094",0.4421874999977891,generalist
Bosh,192,2.4103060948367543,0.8045799406424542,0,0.3541666666666667,6,"0,16,19","0.354,0.078,0.068",0.5276041666640288,moderate
100 Blaze,191,2.512637191670792,0.8387388999518043,0,0.2356020942408377,6,"0,16,1","0.236,0.147,0.120",0.5222513088979123,generalist
Maj Trafyk,190,2.6121894531850858,0.8719702612430421,0,0.1631578947368421,7,"0,17,16","0.163,0.132,0.126",0.47105263157659205,generalist
Fixpen Sill,189,2.7192355719334653,0.9077031335338577,0,0.1746031746031746,7,"0,16,17","0.175,0.138,0.101",0.4029100529080388,generalist
Rocca,189,2.8495488490049214,0.951202774079793,0,0.10582010582010581,9,"0,8,11","0.106,0.090,0.085",0.29232804232658044,generalist
Taïpan,189,2.6890705846827063,0.8976338134156842,0,0.18518518518518517,8,"0,16,11","0.185,0.127,0.090",0.42724867724654125,generalist
Suzuya,187,2.391953919006716,0.7984538338497847,0,0.18181818181818182,5,"0,11,16","0.182,0.155,0.144",0.5826203208527021,generalist
Dany Dan,185,2.696231156726205,0.9000240710854738,16,0.1837837837837838,8,"16,11,2","0.184,0.108,0.097",0.4235135135113961,generalist
Fresh laDouille,185,2.4350268248048113,0.8128319230329665,0,0.2756756756756757,6,"0,16,10","0.276,0.173,0.076",0.5418918918891827,generalist
Dibson,185,2.532217438610699,0.845274946951985,0,0.2702702702702703,5,"0,16,11","0.270,0.108,0.097",0.5013513513488447,generalist
Assassin (FRA),185,2.7207864024363113,0.9082208134735962,16,0.11891891891891893,9,"16,0,11","0.119,0.108,0.097",0.4062162162141853,generalist
Lunatic,184,2.6556292714798295,0.8864708288265427,0,0.1956521739130435,7,"0,18,8","0.196,0.120,0.103",0.4494565217368832,generalist
Lino,182,2.61865705382807,0.8741291993764926,0,0.17582417582417584,8,"0,16,8","0.176,0.137,0.110",0.466483516481184,generalist
R.E.D.K.,181,2.6770518915444286,0.8936218750844863,0,0.18232044198895028,8,"0,17,8","0.182,0.099,0.088",0.4345303867381593,generalist
Gambino La MG,180,2.341203226861605,0.7815128366207824,0,0.35555555555555557,5,"0,19,11","0.356,0.133,0.083",0.56999999999715,moderate
