window_transition,js_divergence
1992-1993->1994-1995,0.06886282666620308
1994-1995->1996-1997,0.06022644953640111
1996-1997->1998-1999,0.03842032607898865
1998-1999->2000-2001,0.022896886514271967
2000-2001->2002-2003,0.031338042150929855
2002-2003->2004-2005,0.028753751783176247
2004-2005->2006-2007,0.02035866602873664
2006-2007->2008-2009,0.014842524019968066
2008-2009->2010-2011,0.018417352488368944
2010-2011->2012-2013,0.013791724745190772
2012-2013->2014-2015,0.018788136998577447
2014-2015->2016-2017,0.01210671751647931
2016-2017->2018-2019,0.01781102567772104
2018-2019->2020-2021,0.011112844796056955
