window_transition,js_divergence
1992-1993->1994-1995,0.08906626678317855
1994-1995->1996-1997,0.06360330979199641
1996-1997->1998-1999,0.042607701751508416
1998-1999->2000-2001,0.021982448046081984
2000-2001->2002-2003,0.022762593183211735
2002-2003->2004-2005,0.02147298896603339
2004-2005->2006-2007,0.019599087003907546
2006-2007->2008-2009,0.013740455571649761
2008-2009->2010-2011,0.015896764175544167
2010-2011->2012-2013,0.012091550445697293
2012-2013->2014-2015,0.018555077024101616
2014-2015->2016-2017,0.009777852885366783
2016-2017->2018-2019,0.018286100646794215
2018-2019->2020-2021,0.010850008032088873
