,IRAMUTEQ_T1,IRAMUTEQ_T2,IRAMUTEQ_T3,IRAMUTEQ_T4,IRAMUTEQ_T5,IRAMUTEQ_T6,IRAMUTEQ_T7,IRAMUTEQ_T8,IRAMUTEQ_T9,IRAMUTEQ_T10,IRAMUTEQ_T11,IRAMUTEQ_T12,IRAMUTEQ_T13,IRAMUTEQ_T14,IRAMUTEQ_T15,IRAMUTEQ_T16,IRAMUTEQ_T17,IRAMUTEQ_T18,IRAMUTEQ_T19,IRAMUTEQ_T20
BERTopic_T0,70,5,75,108,3,3,67,92,86,164,200,1305,519,7,37,113,35,1,3456,1765
BERTopic_T1,35,31,972,896,12,22,718,88,1591,112,75,43,23,121,431,1344,1216,76,51,65
BERTopic_T2,77,55,1343,1474,107,24,1236,39,1214,94,71,69,32,141,409,902,416,35,120,58
BERTopic_T3,31,16,86,68,2,87,1179,401,104,2883,415,204,60,16,49,117,1778,58,114,164
BERTopic_T4,24,41,319,362,25,72,1968,139,402,610,487,144,44,55,173,472,1819,213,117,129
BERTopic_T5,101,18,155,276,7,3,113,23,74,38,39,1525,1945,11,42,171,44,2,1756,1074
BERTopic_T6,20,6,78,28,1,37,121,3621,121,622,345,305,135,12,40,150,329,13,468,896
BERTopic_T7,24,1,15,7,2,6,42,958,20,415,1180,330,169,5,9,30,52,1,1726,1023
BERTopic_T8,49,16,256,861,17,19,563,91,1121,165,64,192,76,66,794,798,448,21,133,201
BERTopic_T9,28,9,112,94,7,8,120,311,198,378,163,774,347,26,101,328,192,5,713,1971
BERTopic_T10,21,6,754,368,7,17,332,128,584,245,103,326,185,68,287,1024,463,16,171,470
BERTopic_T11,11,3,344,181,1,16,352,243,745,466,261,237,72,33,229,741,739,32,259,408
BERTopic_T12,20,8,302,108,3,79,345,617,262,650,211,81,44,32,82,373,1623,147,89,150
BERTopic_T13,62,57,582,721,117,24,1242,42,271,163,148,197,147,43,199,423,309,20,200,101
BERTopic_T14,34,5,177,107,4,2,63,88,136,62,33,722,537,15,57,304,38,1,485,1930
BERTopic_T15,41,40,397,526,15,8,503,62,162,121,109,557,667,19,125,294,143,3,660,288
BERTopic_T16,14,5,69,59,1,13,286,427,107,1026,693,335,119,13,51,158,325,18,312,356
BERTopic_T17,22,23,342,318,17,3,410,61,325,160,208,460,205,45,167,453,177,7,584,374
BERTopic_T18,15,505,74,377,15,66,1061,117,243,134,32,43,36,27,120,288,873,40,68,74
BERTopic_T19,5,0,6,11,0,0,6,1,0,0,0,4,0,0,0,5,0,0,6,11
