,LDA_T0,LDA_T1,LDA_T2,LDA_T3,LDA_T4,LDA_T5,LDA_T6,LDA_T7,LDA_T8,LDA_T9,LDA_T10,LDA_T11,LDA_T12,LDA_T13,LDA_T14,LDA_T15,LDA_T16,LDA_T17,LDA_T18,LDA_T19
BERTopic_T0,38,19,647,95,82,17,174,97,215,867,1139,47,44,27,126,481,753,3146,50,47
BERTopic_T1,51,197,155,126,84,1010,523,232,72,600,39,84,759,776,78,161,199,89,177,2510
BERTopic_T2,223,352,177,145,167,298,342,1029,73,764,99,27,587,1088,95,195,215,102,130,1808
BERTopic_T3,17,69,546,179,56,587,570,26,401,707,21,143,682,60,12,181,172,293,3018,92
BERTopic_T4,100,243,311,257,61,638,596,162,247,855,28,48,2040,233,40,141,197,147,785,486
BERTopic_T5,388,11,724,92,113,6,55,53,50,609,593,21,26,25,1197,941,1225,1246,11,31
BERTopic_T6,14,16,530,80,43,354,541,15,637,358,59,2622,172,42,17,318,238,1045,182,65
BERTopic_T7,23,4,390,33,40,24,256,8,1138,261,116,342,138,13,17,197,231,2698,72,14
BERTopic_T8,81,206,363,122,84,328,347,430,71,710,89,53,245,196,198,303,279,117,87,1642
BERTopic_T9,10,21,750,77,38,112,362,30,133,880,198,158,66,52,85,945,711,1059,93,105
BERTopic_T10,59,51,614,150,36,342,243,64,84,1159,67,58,297,466,112,373,546,220,83,551
BERTopic_T11,29,32,254,60,32,708,951,128,118,614,109,195,240,196,37,431,214,303,124,598
BERTopic_T12,23,65,154,116,51,1231,617,30,165,340,45,513,477,186,18,99,123,208,483,282
BERTopic_T13,896,126,209,218,168,97,252,383,75,467,103,17,491,341,183,210,235,103,180,314
BERTopic_T14,34,20,687,53,41,59,43,18,37,597,125,58,34,66,323,831,738,943,16,77
BERTopic_T15,1241,32,418,165,82,29,88,117,82,420,105,30,156,114,429,405,376,283,60,108
BERTopic_T16,9,31,455,46,29,170,422,30,513,710,36,115,346,36,25,188,187,573,385,81
BERTopic_T17,82,57,277,94,60,81,360,313,121,879,351,13,145,167,123,287,324,336,60,231
BERTopic_T18,81,1051,174,122,48,470,153,100,65,344,46,68,449,50,32,76,98,73,308,400
BERTopic_T19,0,5,0,0,3,6,0,0,0,4,22,0,0,0,3,4,6,1,1,0
