artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,1.3437314248880725,0.4485485691596649,3,0.6897150799166087,3,"3,20,16","0.690,0.055,0.050",0.8106323835956692,specialist
La Fouine,1191,2.247949976200007,0.7503841368084433,17,0.33669185558354325,6,"17,20,7","0.337,0.126,0.096",0.6312762384519235,moderate
Rohff,1095,2.273958269715012,0.7590659184698433,17,0.33424657534246577,6,"17,20,8","0.334,0.156,0.083",0.6186757990836647,moderate
Sexion d’Assaut,1023,2.1879751399385228,0.7303640446290001,17,0.2570869990224829,7,"17,6,20","0.257,0.200,0.115",0.6654447702801526,generalist
Alkpote,889,2.20148483731271,0.734873692401416,18,0.2440944881889764,4,"18,7,17","0.244,0.243,0.150",0.6539370078707459,generalist
Naps,854,1.2278465087670283,0.4098652338215694,3,0.7072599531615925,3,"3,4,16","0.707,0.078,0.070",0.8377049180285985,specialist
Disiz,849,2.333593261473051,0.7789725677670754,8,0.14487632508833923,8,"19,8,7","0.145,0.145,0.134",0.590636042399874,generalist
Swift Guad,797,2.259611491104856,0.7542768461162128,11,0.22961104140526975,7,"11,19,10","0.230,0.162,0.112",0.6325595984911913,generalist
IAM,745,1.9818987677715005,0.6615740616301043,10,0.2912751677852349,5,"10,19,8","0.291,0.189,0.161",0.72664429529838,generalist
Sinik,744,2.1982554603991726,0.733795699904541,20,0.22580645161290322,7,"20,17,8","0.226,0.168,0.125",0.6561827956956435,generalist
Lacrim,732,2.2148004923000606,0.7393185672338233,16,0.3510928961748634,5,"16,20,17","0.351,0.139,0.092",0.6360655737673114,moderate
Sadek,721,2.601148779199951,0.8682847937256004,17,0.13869625520110956,8,"17,16,9","0.139,0.133,0.107",0.4737170596370212,generalist
Niro,713,2.1551571999797163,0.7194091471408234,16,0.26367461430575034,4,"16,17,20","0.264,0.229,0.163",0.67244039270351,generalist
Mac Tyer,704,2.4100046374213737,0.8044793116850397,17,0.234375,7,"17,20,19","0.234,0.116,0.115",0.5690340909062456,generalist
Gims,703,2.5513631072527496,0.851665928152497,19,0.14509246088193456,8,"19,12,20","0.145,0.138,0.134",0.5027738264555232,generalist
Booba,676,2.0255892039071868,0.6761582875041522,17,0.4718934911242604,4,"17,7,10","0.472,0.105,0.058",0.6575443786949372,moderate
Alonzo,666,2.156130101065383,0.7197339095016843,3,0.3633633633633634,5,"3,20,16","0.363,0.134,0.099",0.6499999999967501,moderate
Vald,659,2.466210989870788,0.8232414530638265,7,0.22003034901365706,7,"7,11,19","0.220,0.165,0.093",0.5469650986315597,generalist
Jorrdee,656,2.2506517464393645,0.7512860098707355,7,0.35060975609756095,6,"7,19,2","0.351,0.136,0.073",0.6181402438993482,moderate
A2H,649,2.2047748024804386,0.7359719097544057,7,0.34668721109399075,6,"7,13,19","0.347,0.116,0.091",0.6399845916763071,moderate
Kaaris,637,2.329717135731767,0.7776786852077086,17,0.21978021978021978,5,"17,4,9","0.220,0.138,0.127",0.6080847723674467,generalist
Kekra,634,2.3435504334751,0.7822963534370933,7,0.1829652996845426,6,"7,9,17","0.183,0.169,0.166",0.6047318611957143,generalist
3010,623,2.237313845183169,0.7468337090513529,7,0.33868378812199035,7,"7,12,17","0.339,0.119,0.114",0.6334670946998823,moderate
Seth Gueko,613,1.8629591153985392,0.6218710302801576,17,0.32300163132137033,4,"17,18,7","0.323,0.279,0.171",0.7469004893926767,moderate
Guizmo,594,2.170102545557473,0.7243980260569043,17,0.35858585858585856,6,"17,20,16","0.359,0.125,0.113",0.6584175084142163,moderate
Lucio Bukowski,590,1.53858775063879,0.5135932086526158,11,0.511864406779661,4,"11,19,10","0.512,0.210,0.085",0.8203389830467461,specialist
Jarod,583,2.1406724916137017,0.7145740327035673,17,0.32246998284734135,6,"17,20,16","0.322,0.163,0.141",0.6788164665489215,moderate
VII,580,1.5077713665526071,0.5033064469288708,11,0.4241379310344828,3,"11,8,19","0.424,0.238,0.216",0.8246551724096698,moderate
Georgio,576,1.847987447677217,0.6168733648166946,19,0.3489583333333333,4,"19,20,12","0.349,0.273,0.134",0.757812499996211,moderate
Djadja & Dinaz,568,2.032936961712072,0.678611029316146,16,0.32922535211267606,6,"16,9,15","0.329,0.162,0.132",0.710211267602083,moderate
Hamza,561,2.102199981770064,0.7017315934164292,4,0.3244206773618538,3,"4,7,16","0.324,0.264,0.061",0.6615864527596156,moderate
Dinos,557,2.5230744854398743,0.8422229542049903,19,0.1615798922800718,8,"19,12,13","0.162,0.120,0.108",0.5212746858142697,generalist
Ol’ Kainry,557,2.053527645066186,0.6854843682776702,7,0.3087971274685817,5,"7,17,20","0.309,0.223,0.129",0.7069120287217797,moderate
Hayce Lemsi,555,2.4933076176440214,0.8322865296257208,16,0.16036036036036036,7,"16,4,7","0.160,0.148,0.128",0.5345045045018323,generalist
Kery James,555,1.8386980369261985,0.6137724833283772,20,0.2972972972972973,5,"20,8,19","0.297,0.249,0.222",0.7593693693655726,generalist
Soprano,549,2.399186100768631,0.8008679954308312,19,0.21129326047358835,8,"19,20,8","0.211,0.166,0.111",0.585701275042609,generalist
Ninho,545,2.0778615160342184,0.6936072139614615,9,0.3247706422018349,5,"9,4,16","0.325,0.160,0.156",0.6944036697212987,moderate
