artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,1.4720123711611242,0.49136980101856714,3,0.640722724113968,3,"3,6,19","0.641,0.088,0.066",0.7992355802600762,specialist
La Fouine,1191,1.690396601156831,0.56426824789367,3,0.5062972292191436,4,"3,6,0","0.506,0.218,0.058",0.7704030226661731,specialist
Rohff,1094,1.432113547913589,0.47805124662044624,3,0.4296160877513711,2,"3,6,19","0.430,0.408,0.027",0.8076782449685393,moderate
Sexion d’Assaut,1023,1.313278403219639,0.4383831007907891,3,0.4946236559139785,2,"3,6,0","0.495,0.353,0.036",0.8472629520974255,moderate
Alkpote,889,1.3346885649099365,0.4455299883412235,3,0.6332958380202475,2,"3,6,0","0.633,0.189,0.036",0.8305399325042839,specialist
Naps,854,1.6814926746398369,0.5612960442039088,3,0.5644028103044496,4,"3,11,6","0.564,0.103,0.087",0.7665105386378537,specialist
Disiz,849,1.628015035240662,0.5434447696186362,6,0.4134275618374558,3,"6,3,19","0.413,0.345,0.072",0.7871024734942981,moderate
Swift Guad,797,1.30258042669101,0.43481202849468653,6,0.4918444165621079,2,"6,3,19","0.492,0.365,0.038",0.8456085319907535,moderate
IAM,745,1.0733023631130727,0.3582771306328249,6,0.7221476510067114,2,"6,3,14","0.722,0.158,0.027",0.8628859060359538,specialist
Sinik,744,1.3346903745238061,0.4455305924051733,6,0.5443548387096774,4,"6,3,19","0.544,0.266,0.060",0.8524193548344476,specialist
Lacrim,732,1.420671959852203,0.4742319506965778,3,0.5846994535519126,3,"3,6,19","0.585,0.212,0.051",0.8262295081925902,specialist
Sadek,721,1.6043073777292642,0.5355309591220554,3,0.5062413314840499,3,"3,6,19","0.506,0.250,0.068",0.7909153952803731,specialist
Niro,713,1.5353978460652233,0.5125283923465237,3,0.5624123422159888,2,"3,6,0","0.562,0.209,0.049",0.7986676016790362,specialist
Mac Tyer,704,1.6218896676467904,0.5414000716835284,6,0.4161931818181818,4,"6,3,0","0.416,0.330,0.078",0.7963068181778366,moderate
Gims,703,1.9263553169218905,0.6430332022415863,6,0.33001422475106684,4,"6,3,19","0.330,0.276,0.125",0.7278093883320651,moderate
Booba,676,1.4115986234783438,0.4712031966073163,3,0.5384615384615384,2,"3,6,19","0.538,0.283,0.037",0.8260355029544495,specialist
Alonzo,666,1.6873541796185056,0.5632526626342049,3,0.46546546546546547,3,"3,6,0","0.465,0.263,0.065",0.7798798798759806,moderate
Vald,659,1.4513754825571572,0.48448103836572687,3,0.5462822458270106,3,"3,6,19","0.546,0.258,0.055",0.8190440060657072,specialist
Jorrdee,656,1.8038855990335088,0.6021518060736004,3,0.47865853658536583,3,"3,6,19","0.479,0.218,0.056",0.7417682926792177,moderate
